customer_id,email,state,plan,plan_list_price,churn_status,user_id,total_tickets,avg_resolution_time,event_count,ticket_count
C10151,user10151@example.com,Pennsylvania,Enterprise,134,,10151,3.0,9.323333333333332,1.0,3.0
C10152,user10152@example.org,North Dakota,Pro,67,Y,10152,3.0,14.306666666666667,1.0,3.0
C10153,user10153@example.net,Montana,Basic,13,,10153,1.0,4.32,2.0,1.0
C10154,user10154@example.net,Virginia,Free,0,Y,10154,1.0,14.51,1.0,1.0
C10155,user10155@example.org,Virginia,Pro,34,Y,10155,1.0,15.62,0.0,1.0
C10156,user10156@example.org,Massachusetts,Pro,72,,10156,2.0,6.71,0.0,2.0
C10157,user10157@example.com,Washington,Basic,18,,10157,2.0,5.13,1.0,2.0
C10158,user10158@example.com,Minnesota,Pro,73,,10158,5.0,6.438,2.0,5.0
C10159,user10159@example.net,Ohio,Pro,69,,10159,1.0,4.55,2.0,1.0
C10160,user10160@example.net,New Jersey,Basic,21,Y,10160,,0.0,0.0,0.0
C10161,user10161@example.org,Ohio,Basic,27,,10161,1.0,11.62,0.0,1.0
C10162,user10162@example.net,Maryland,Pro,32,Y,10162,4.0,25.939999999999998,0.0,4.0
C10163,user10163@example.net,Hawaii,Basic,24,Y,10163,3.0,20.80333333333333,0.0,3.0
C10164,user10164@example.com,Arkansas,Free,0,,10164,2.0,6.805,2.0,2.0
C10165,user10165@example.com,Tennessee,Enterprise,137,,10165,2.0,9.954999999999998,2.0,2.0
C10166,user10166@example.org,Nevada,Free,0,,10166,3.0,9.753333333333332,3.0,3.0
C10167,user10167@example.org,West Virginia,Pro,43,,10167,1.0,6.87,2.0,1.0
C10168,user10168@example.org,Utah,Enterprise,91,,10168,4.0,14.0575,2.0,4.0
C10169,user10169@example.net,Connecticut,Basic,14,,10169,4.0,7.3,2.0,4.0
C10170,user10170@example.org,New Jersey,Basic,22,Y,10170,2.0,24.195,0.0,2.0
C10171,user10171@example.org,Oregon,Basic,27,,10171,2.0,10.16,1.0,2.0
C10172,user10172@example.org,Georgia,Free,0,,10172,,0.0,1.0,0.0
C10173,user10173@example.com,Florida,Basic,23,,10173,1.0,7.99,2.0,1.0
C10174,user10174@example.com,Tennessee,Free,0,,10174,2.0,4.91,1.0,2.0
C10175,user10175@example.net,Massachusetts,Free,0,,10175,1.0,1.85,0.0,1.0
C10176,user10176@example.com,South Carolina,Pro,50,,10176,3.0,1.9866666666666666,0.0,3.0
C10177,user10177@example.org,South Dakota,Pro,80,,10177,3.0,10.253333333333334,3.0,3.0
C10178,user10178@example.org,Idaho,Basic,21,,10178,2.0,3.2800000000000002,2.0,2.0
C10179,user10179@example.net,Mississippi,Basic,10,,10179,1.0,6.32,5.0,1.0
C10180,user10180@example.org,Missouri,Pro,54,,10180,2.0,6.42,1.0,2.0
C10181,user10181@example.com,Mississippi,Free,0,Y,10181,1.0,20.91,0.0,1.0
C10182,user10182@example.net,Wisconsin,Pro,34,,10182,2.0,5.635,0.0,2.0
C10183,user10183@example.net,Michigan,Enterprise,112,Y,10183,,0.0,0.0,0.0
C10184,user10184@example.com,Colorado,Free,0,Y,10184,1.0,11.75,0.0,1.0
C10185,user10185@example.net,Wisconsin,Basic,15,,10185,4.0,6.1625,3.0,4.0
C10186,user10186@example.net,North Dakota,Free,0,,10186,2.0,2.735,1.0,2.0
C10187,user10187@example.net,Alaska,Free,0,Y,10187,3.0,21.846666666666664,1.0,3.0
C10188,user10188@example.com,Tennessee,Pro,48,,10188,2.0,7.87,3.0,2.0
C10189,user10189@example.net,Vermont,Pro,37,,10189,3.0,4.516666666666667,1.0,3.0
C10190,user10190@example.com,Virginia,Pro,77,,10190,2.0,8.075,0.0,2.0
C10191,user10191@example.com,Idaho,Pro,45,,10191,4.0,10.4475,1.0,4.0
C10192,user10192@example.org,Delaware,Enterprise,94,,10192,2.0,7.1499999999999995,3.0,2.0
C10193,user10193@example.org,Washington,Free,0,,10193,4.0,7.865,2.0,4.0
C10194,user10194@example.net,Massachusetts,Basic,15,,10194,3.0,6.306666666666666,2.0,3.0
C10195,user10195@example.org,Alaska,Basic,24,,10195,2.0,5.155,1.0,2.0
C10196,user10196@example.net,Indiana,Enterprise,140,,10196,2.0,11.485,3.0,2.0
C10197,user10197@example.org,Maryland,Basic,12,,10197,6.0,9.691666666666668,3.0,6.0
C10198,user10198@example.com,North Carolina,Pro,78,,10198,,0.0,1.0,0.0
C10199,user10199@example.org,Alabama,Free,0,,10199,3.0,4.876666666666666,0.0,3.0
C10200,user10200@example.net,Illinois,Pro,64,,10200,,0.0,3.0,0.0
C10201,user10201@example.com,Vermont,Enterprise,81,,10201,2.0,8.28,0.0,2.0
C10202,user10202@example.com,Virginia,Basic,21,,10202,3.0,7.07,2.0,3.0
C10203,user10203@example.com,Hawaii,Free,0,,10203,1.0,10.64,2.0,1.0
C10204,user10204@example.net,Rhode Island,Enterprise,139,,10204,,0.0,1.0,0.0
C10205,user10205@example.org,Indiana,Pro,39,,10205,3.0,10.0,1.0,3.0
C10206,user10206@example.org,Missouri,Free,0,Y,10206,4.0,18.9025,0.0,4.0
C10207,user10207@example.org,Maryland,Pro,35,,10207,3.0,12.696666666666667,1.0,3.0
C10208,user10208@example.org,Delaware,Basic,24,,10208,3.0,7.593333333333334,3.0,3.0
C10209,user10209@example.net,New Hampshire,Basic,15,,10209,3.0,5.323333333333333,1.0,3.0
C10210,user10210@example.org,Iowa,Basic,12,,10210,4.0,7.967499999999999,3.0,4.0
C10211,user10211@example.com,New Mexico,Basic,23,,10211,4.0,5.8325,1.0,4.0
C10212,user10212@example.org,Texas,Free,0,,10212,3.0,6.776666666666666,4.0,3.0
C10213,user10213@example.net,Wisconsin,Pro,39,,10213,1.0,1.3,0.0,1.0
C10214,user10214@example.com,North Dakota,Enterprise,118,Y,10214,1.0,17.5,2.0,1.0
C10215,user10215@example.com,Alaska,Pro,65,,10215,3.0,7.44,0.0,3.0
C10216,user10216@example.net,South Carolina,Basic,20,,10216,3.0,7.986666666666667,1.0,3.0
C10217,user10217@example.net,Oklahoma,Enterprise,81,,10217,1.0,10.19,1.0,1.0
C10218,user10218@example.net,Montana,Basic,21,,10218,1.0,4.58,1.0,1.0
C10219,user10219@example.net,Illinois,Basic,23,Y,10219,4.0,22.385,1.0,4.0
C10220,user10220@example.org,Arkansas,Basic,15,,10220,2.0,2.915,2.0,2.0
C10221,user10221@example.com,New Hampshire,Pro,73,,10221,4.0,10.895,0.0,4.0
C10222,user10222@example.net,Minnesota,Free,0,,10222,1.0,5.05,0.0,1.0
C10223,user10223@example.com,Rhode Island,Enterprise,91,,10223,3.0,9.143333333333333,3.0,3.0
C10224,user10224@example.org,Iowa,Basic,30,,10224,1.0,8.06,0.0,1.0
C10225,user10225@example.net,Oregon,Enterprise,144,Y,10225,1.0,32.46,0.0,1.0
C10226,user10226@example.com,California,Free,0,,10226,1.0,2.66,2.0,1.0
C10227,user10227@example.net,Wyoming,Basic,23,,10227,2.0,5.295,2.0,2.0
C10228,user10228@example.org,Alabama,Basic,27,,10228,3.0,4.97,3.0,3.0
C10229,user10229@example.org,Nebraska,Pro,49,,10229,1.0,14.01,2.0,1.0
C10230,user10230@example.com,Georgia,Enterprise,125,,10230,2.0,12.64,1.0,2.0
C10231,user10231@example.org,New York,Basic,21,,10231,3.0,6.366666666666666,2.0,3.0
C10232,user10232@example.net,Maine,Free,0,,10232,4.0,7.109999999999999,2.0,4.0
C10233,user10233@example.org,Nevada,Free,0,,10233,1.0,5.01,2.0,1.0
C10234,user10234@example.org,Idaho,Pro,32,,10234,2.0,7.165,1.0,2.0
C10235,user10235@example.org,California,Pro,66,Y,10235,1.0,17.31,1.0,1.0
C10236,user10236@example.net,South Dakota,Free,0,,10236,4.0,7.02,0.0,4.0
C10237,user10237@example.net,Maine,Pro,78,Y,10237,3.0,18.973333333333333,0.0,3.0
C10238,user10238@example.org,Wisconsin,Basic,18,Y,10238,1.0,15.03,0.0,1.0
C10239,user10239@example.net,Indiana,Pro,45,,10239,1.0,7.38,2.0,1.0
C10240,user10240@example.net,Nebraska,Basic,29,Y,10240,2.0,25.755,0.0,2.0
C10241,user10241@example.org,New York,Enterprise,138,,10241,2.0,5.795,5.0,2.0
C10242,user10242@example.org,Texas,Pro,62,,10242,1.0,2.61,1.0,1.0
C10243,user10243@example.com,Iowa,Pro,79,,10243,,0.0,3.0,0.0
C10244,user10244@example.net,Delaware,Basic,20,,10244,6.0,5.343333333333334,0.0,6.0
C10245,user10245@example.org,New Hampshire,Free,0,,10245,1.0,3.97,1.0,1.0
C10246,user10246@example.net,Oklahoma,Enterprise,145,Y,10246,2.0,15.82,0.0,2.0
C10247,user10247@example.com,North Dakota,Free,0,,10247,3.0,5.823333333333333,1.0,3.0
C10248,user10248@example.org,Oklahoma,Basic,23,,10248,2.0,7.025,1.0,2.0
C10249,user10249@example.com,Texas,Pro,67,,10249,2.0,7.9350000000000005,1.0,2.0
C10250,user10250@example.org,Vermont,Enterprise,132,,10250,3.0,6.736666666666667,0.0,3.0
C10251,user10251@example.com,Hawaii,Basic,26,,10251,3.0,7.580000000000001,2.0,3.0
C10252,user10252@example.com,Pennsylvania,Basic,16,Y,10252,2.0,23.03,1.0,2.0
C10253,user10253@example.org,South Carolina,Enterprise,104,,10253,2.0,6.22,2.0,2.0
C10254,user10254@example.org,Washington,Free,0,Y,10254,1.0,12.04,1.0,1.0
C10255,user10255@example.net,Iowa,Basic,13,Y,10255,5.0,18.130000000000003,0.0,5.0
C10256,user10256@example.com,Arizona,Enterprise,133,,10256,1.0,6.15,0.0,1.0
C10257,user10257@example.com,North Carolina,Pro,55,,10257,4.0,3.6075,0.0,4.0
C10258,user10258@example.org,Kansas,Free,0,Y,10258,4.0,19.1025,0.0,4.0
C10259,user10259@example.org,Idaho,Free,0,,10259,4.0,5.9625,0.0,4.0
C10260,user10260@example.com,Rhode Island,Basic,22,,10260,4.0,5.8925,1.0,4.0
C10261,user10261@example.org,Virginia,Free,0,,10261,,0.0,0.0,0.0
C10262,user10262@example.org,Florida,Enterprise,82,,10262,2.0,7.955,2.0,2.0
C10263,user10263@example.org,New York,Enterprise,117,,10263,4.0,5.605,1.0,4.0
C10264,user10264@example.com,Idaho,Enterprise,93,,10264,,0.0,4.0,0.0
C10265,user10265@example.net,Colorado,Free,0,,10265,1.0,6.22,1.0,1.0
C10266,user10266@example.net,Virginia,Free,0,,10266,2.0,7.415,5.0,2.0
C10267,user10267@example.net,Colorado,Pro,35,Y,10267,2.0,15.61,1.0,2.0
C10268,user10268@example.net,Vermont,Basic,24,,10268,3.0,6.633333333333333,1.0,3.0
C10269,user10269@example.org,Delaware,Enterprise,125,,10269,4.0,4.215,0.0,4.0
C10270,user10270@example.org,Alaska,Basic,12,Y,10270,4.0,19.44,0.0,4.0
C10271,user10271@example.org,Hawaii,Enterprise,130,,10271,4.0,5.0600000000000005,3.0,4.0
C10272,user10272@example.com,Pennsylvania,Basic,14,,10272,5.0,6.048,2.0,5.0
C10273,user10273@example.org,Rhode Island,Free,0,Y,10273,3.0,18.63,1.0,3.0
C10274,user10274@example.org,Virginia,Basic,11,,10274,1.0,3.34,1.0,1.0
C10275,user10275@example.com,Indiana,Enterprise,145,,10275,2.0,1.7599999999999998,2.0,2.0
C10276,user10276@example.net,Massachusetts,Free,0,,10276,4.0,6.645,0.0,4.0
C10277,user10277@example.org,Indiana,Enterprise,129,Y,10277,3.0,16.18,0.0,3.0
C10278,user10278@example.net,Missouri,Pro,78,,10278,1.0,8.24,1.0,1.0
C10279,user10279@example.net,Tennessee,Enterprise,140,Y,10279,5.0,15.136,0.0,5.0
C10280,user10280@example.net,North Carolina,Pro,53,,10280,2.0,7.96,3.0,2.0
C10281,user10281@example.net,Michigan,Enterprise,120,Y,10281,3.0,14.853333333333333,0.0,3.0
C10282,user10282@example.org,Nevada,Enterprise,141,Y,10282,2.0,21.535,0.0,2.0
C10283,user10283@example.org,Minnesota,Enterprise,124,,10283,3.0,5.7,0.0,3.0
C10284,user10284@example.org,North Dakota,Free,0,,10284,1.0,11.59,1.0,1.0
C10285,user10285@example.net,Maryland,Enterprise,133,,10285,1.0,12.42,0.0,1.0
C10286,user10286@example.org,Arizona,Pro,78,,10286,1.0,10.39,1.0,1.0
C10287,user10287@example.com,Oregon,Enterprise,108,,10287,1.0,13.69,0.0,1.0
C10288,user10288@example.com,Kansas,Basic,16,,10288,3.0,9.306666666666667,1.0,3.0
C10289,user10289@example.org,Michigan,Free,0,Y,10289,4.0,20.3025,1.0,4.0
C10290,user10290@example.net,Pennsylvania,Free,0,Y,10290,1.0,25.9,0.0,1.0
C10291,user10291@example.com,Florida,Pro,51,Y,10291,2.0,22.595,0.0,2.0
C10292,user10292@example.org,Mississippi,Free,0,Y,10292,,0.0,1.0,0.0
C10293,user10293@example.net,Wyoming,Basic,20,,10293,4.0,5.8175,2.0,4.0
C10294,user10294@example.net,Arizona,Pro,54,,10294,3.0,7.38,3.0,3.0
C10295,user10295@example.com,Georgia,Basic,12,,10295,,0.0,1.0,0.0
C10296,user10296@example.org,Mississippi,Pro,50,Y,10296,3.0,16.24,0.0,3.0
C10297,user10297@example.net,Mississippi,Pro,48,,10297,1.0,3.92,0.0,1.0
C10298,user10298@example.com,Louisiana,Pro,37,,10298,,0.0,0.0,0.0
C10299,user10299@example.org,Montana,Free,0,Y,10299,2.0,17.9,0.0,2.0
C10300,user10300@example.com,Washington,Basic,27,,10300,6.0,9.268333333333333,1.0,6.0
C10301,user10301@example.com,Mississippi,Pro,47,,10301,,0.0,1.0,0.0
C10302,user10302@example.net,Oregon,Enterprise,136,Y,10302,3.0,20.823333333333334,0.0,3.0
C10303,user10303@example.org,Mississippi,Pro,61,,10303,4.0,3.3249999999999997,2.0,4.0
C10304,user10304@example.com,New Hampshire,Pro,55,Y,10304,3.0,22.743333333333336,0.0,3.0
C10305,user10305@example.net,North Dakota,Free,0,,10305,3.0,7.010000000000001,2.0,3.0
C10306,user10306@example.net,Tennessee,Free,0,,10306,1.0,5.14,2.0,1.0
